DMU,process,x1,x2,x3,x4,x5,x6,x7,x8,y1-O,y1-I,y2-O,y2-I,y3-O,y3-I,y4-O,y4-I,y5-O,y5-I,y6-O,y6-I,y7-O,yf
H5,4,60,120,30,30,6,12,3.6,0.6,NaN,NaN,NaN,NaN,NaN,NaN,765,720,NaN,NaN,NaN,NaN,NaN,NaN
H5,f,60,120,30,30,6,12,2.4,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,720,630,630,NaN,4.3,7200000
H6,total,350,700,140,210,35,70,14,3.5,910,NaN,455,NaN,410,NaN,387,NaN,364,NaN,319,NaN,3.7,3640000
H6,1,140,280,35,70,7,14,3.5,0.7,910,455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H6,2,70,140,35,35,7,14,3.5,0.7,NaN,NaN,455,410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H6,3,70,140,35,70,14,28,3.5,1.4,NaN,NaN,NaN,NaN,410,387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H6,4,35,70,17.5,17.5,3.5,7,2.1,0.35,NaN,NaN,NaN,NaN,NaN,NaN,387,364,NaN,NaN,NaN,NaN,NaN,NaN
H6,f,35,70,17.5,17.5,3.5,7,1.4,0.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,364,319,319,NaN,3.7,3640000
H7,total,525,1050,210,315,52.5,105,21,5.25,1365,NaN,683,NaN,615,NaN,581,NaN,547,NaN,478,NaN,3.9,5460000
H7,1,210,420,52.5,105,10.5,21,5.25,1.05,1365,683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H7,2,105,210,52.5,52.5,10.5,21,5.25,1.05,NaN,NaN,683,615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H7,3,105,210,52.5,105,21,42,5.25,2.1,NaN,NaN,NaN,NaN,615,581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H7,4,52.5,105,26.25,26.25,5.25,10.5,3.15,0.525,NaN,NaN,NaN,NaN,NaN,NaN,581,547,NaN,NaN,NaN,NaN,NaN,NaN
H7,f,52.5,105,26.25,26.25,5.25,10.5,2.1,0.525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,547,478,478,NaN,3.9,5460000
H8,total,475,950,190,285,47.5,95,19,4.75,1045,NaN,523,NaN,471,NaN,445,NaN,419,NaN,366,NaN,3.8,4180000
H8,1,190,380,47.5,95,9.5,19,4.75,0.95,1045,523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H8,2,95,190,47.5,47.5,9.5,19,4.75,0.95,NaN,NaN,523,471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H8,3,95,190,47.5,95,19,38,4.75,1.9,NaN,NaN,NaN,NaN,471,445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H8,4,47.5,95,23.75,23.75,4.75,9.5,2.85,0.475,NaN,NaN,NaN,NaN,NaN,NaN,445,419,NaN,NaN,NaN,NaN,NaN,NaN
H8,f,47.5,95,23.75,23.75,4.75,9.5,1.9,0.475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,419,366,366,NaN,3.8,4180000
